product_id,sku,product_name,brand,category_id,unit_price,unit_cost,weight_kg,is_active,launch_date
1,SKU-00001,HP Laptop 55NQ,HP,2,481.78,187.54,9.72,True,2022-10-08
2,SKU-00002,Dell Laptop 19OK,Dell,2,21.72,11.65,8.49,True,2024-02-08
3,SKU-00003,Asus Laptop 32DY,Asus,2,387.61,166.5,14.01,True,2022-10-14
4,SKU-00004,HP Laptop 83RU,HP,2,668.3,265.53,12.52,True,2025-08-25
5,SKU-00005,Asus Laptop 03CZ,Asus,2,1771.02,1048.67,7.98,True,2023-01-05
6,SKU-00006,Asus Laptop 41NK,Asus,2,542.38,297.78,14.09,True,2025-10-26
7,SKU-00007,Dell Laptop 53PF,Dell,2,1602.03,917.52,2.42,True,2023-05-31
8,SKU-00008,HP Laptop 72QI,HP,2,1293.11,531.57,9.55,True,2022-09-01
9,SKU-00009,Apple Laptop 88QV,Apple,2,455.76,283.69,0.86,True,2024-05-11
10,SKU-00010,Lenovo Laptop 96XO,Lenovo,2,84.14,37.87,2.05,True,2026-06-04
11,SKU-00011,HP Laptop 28FF,HP,2,1335.51,688.46,6.47,False,2025-03-19
12,SKU-00012,Dell Laptop 12OK,Dell,2,1701.37,948.18,2.32,False,2025-05-25
13,SKU-00013,Lenovo Laptop 69EY,Lenovo,2,1050.6,414.39,2.0,True,2023-05-06
14,SKU-00014,Dell Laptop 78QJ,Dell,2,1618.57,668.51,3.82,True,2025-09-27
15,SKU-00015,Asus Laptop 01RI,Asus,2,1592.02,751.3,9.35,True,2025-03-10
16,SKU-00016,HP Gaming Laptop 51SB,HP,2,1556.97,1000.92,12.18,True,2022-03-23
17,SKU-00017,Dell Gaming Laptop 04GW,Dell,2,326.95,205.11,11.76,True,2022-04-30
18,SKU-00018,Acer Gaming Laptop 14OG,Acer,2,1555.99,923.05,4.08,True,2024-06-24
19,SKU-00019,Dell Gaming Laptop 25WK,Dell,2,691.66,250.12,7.11,True,2024-02-18
20,SKU-00020,Apple Gaming Laptop 80MU,Apple,2,632.64,377.16,13.08,True,2023-11-17
21,SKU-00021,Acer Gaming Laptop 15ZT,Acer,2,351.67,157.72,12.98,True,2022-08-19
22,SKU-00022,Lenovo Gaming Laptop 39FF,Lenovo,2,635.31,319.45,10.22,True,2025-02-04
23,SKU-00023,Lenovo Gaming Laptop 18XI,Lenovo,2,1690.93,650.34,14.56,True,2022-01-28
24,SKU-00024,Lenovo Gaming Laptop 78KQ,Lenovo,2,73.67,38.97,5.25,True,2024-01-28
25,SKU-00025,Apple Gaming Laptop 96NI,Apple,2,1093.14,550.32,5.84,True,2025-03-18
26,SKU-00026,Lenovo Ultrabook 34ZQ,Lenovo,2,84.67,40.71,7.85,True,2024-09-07
27,SKU-00027,Acer Ultrabook 78CH,Acer,2,1296.38,742.29,10.09,True,2022-09-03
28,SKU-00028,Dell Ultrabook 15BL,Dell,2,1708.23,1069.75,9.39,True,2024-03-16
29,SKU-00029,Dell Ultrabook 93AE,Dell,2,1296.96,570.79,4.71,True,2024-12-22
30,SKU-00030,Apple Ultrabook 03EC,Apple,2,1256.49,648.76,2.96,True,2025-09-25
31,SKU-00031,Apple Ultrabook 18PR,Apple,2,1220.79,757.92,9.27,True,2024-10-12
32,SKU-00032,Asus Ultrabook 38IU,Asus,2,1501.54,662.42,3.23,True,2026-02-11
33,SKU-00033,Asus Ultrabook 99EP,Asus,2,1180.2,577.7,6.69,True,2025-05-11
34,SKU-00034,Apple Workstation 63GG,Apple,2,1429.76,912.11,11.07,True,2024-09-23
35,SKU-00035,Lenovo Workstation 56AD,Lenovo,2,930.24,502.22,5.09,True,2025-10-03
36,SKU-00036,HP Workstation 01DZ,HP,2,1212.67,506.16,3.07,False,2025-01-28
37,SKU-00037,HP Workstation 13MM,HP,2,1771.17,944.71,11.55,True,2024-02-12
38,SKU-00038,Acer Workstation 26LR,Acer,2,1038.33,587.18,5.82,True,2023-10-01
39,SKU-00039,HP Chromebook 17ZJ,HP,2,1182.62,415.88,11.29,True,2021-12-03
40,SKU-00040,Dell Chromebook 80FW,Dell,2,1402.26,582.85,12.08,True,2025-09-05
41,SKU-00041,Apple Chromebook 26FE,Apple,2,95.14,40.41,12.74,True,2022-07-03
42,SKU-00042,Apple Chromebook 60KY,Apple,2,1203.3,777.77,8.97,True,2021-06-11
43,SKU-00043,Apple Chromebook 64YY,Apple,2,1104.71,625.03,7.62,True,2023-09-17
44,SKU-00044,Asus Chromebook 68QT,Asus,2,805.41,320.35,12.94,True,2023-11-14
45,SKU-00045,HP Chromebook 34ND,HP,2,1512.55,655.23,11.69,True,2024-05-01
46,SKU-00046,Samsung Smartphone 80VU,Samsung,3,497.9,185.84,4.36,True,2021-09-20
47,SKU-00047,Google Smartphone 97GH,Google,3,1607.98,601.66,2.35,True,2022-03-22
48,SKU-00048,Samsung Smartphone 81LE,Samsung,3,1273.02,470.09,6.17,True,2024-05-30
49,SKU-00049,OnePlus Smartphone 36HK,OnePlus,3,116.77,70.05,5.9,True,2022-08-31
