inventory_id,product_id,store_id,snapshot_date,qty_on_hand,qty_reserved,reorder_point,reorder_qty
1,44,8,2025-09-01,342,34,56,214
2,605,47,2024-11-01,425,18,54,166
3,706,24,2025-04-01,307,35,57,203
4,1065,6,2024-01-01,49,43,18,51
5,196,46,2025-08-01,318,44,78,216
6,1031,15,2025-05-01,450,21,39,268
7,387,37,2024-03-01,448,1,54,202
8,714,20,2024-12-01,262,18,46,58
9,125,35,2024-04-01,33,6,26,118
10,288,13,2024-01-01,200,22,67,233
11,1012,1,2024-06-01,223,25,59,289
12,209,13,2025-08-01,191,21,35,164
13,897,29,2025-05-01,10,6,57,144
14,732,38,2024-02-01,304,35,14,112
15,983,10,2025-10-01,209,31,50,197
16,1116,41,2024-09-01,421,47,24,216
17,490,33,2024-09-01,84,44,14,267
18,815,10,2024-12-01,333,48,54,185
19,943,29,2024-05-01,332,21,15,60
20,561,7,2025-04-01,425,24,57,136
21,211,17,2024-08-01,432,21,21,161
22,135,10,2025-03-01,64,31,14,62
23,316,24,2024-11-01,166,11,13,206
24,1081,39,2025-12-01,13,2,74,236
25,1138,25,2024-09-01,277,22,66,86
26,144,7,2024-05-01,48,43,20,156
27,1099,7,2024-10-01,72,15,31,92
28,854,38,2025-09-01,493,6,79,106
29,174,24,2025-08-01,213,22,21,167
30,590,6,2025-03-01,105,29,25,289
31,7,41,2025-11-01,113,20,25,224
32,91,6,2024-07-01,476,3,59,194
33,790,39,2025-09-01,279,42,73,154
34,1010,34,2024-12-01,29,25,28,146
35,1138,1,2024-05-01,48,15,63,104
36,400,35,2025-05-01,363,44,29,235
37,832,8,2025-07-01,465,39,43,75
38,656,12,2024-04-01,484,46,14,104
39,91,46,2024-03-01,419,30,53,98
40,755,45,2024-08-01,216,20,16,210
41,1120,43,2024-12-01,294,0,61,152
42,648,38,2024-06-01,242,35,38,75
43,986,9,2024-02-01,179,6,62,237
44,521,29,2024-07-01,428,46,50,174
45,1108,8,2025-11-01,452,43,60,220
46,845,36,2024-05-01,264,28,70,257
47,319,45,2025-12-01,452,22,15,221
48,756,44,2024-08-01,263,26,76,249
49,196,1,2025-01-01,281,8,51,197
50,628,46,2024-01-01,203,10,42,243
51,729,25,2025-05-01,332,27,26,209
52,903,35,2025-06-01,255,20,56,192
53,344,10,2024-09-01,337,36,16,95
54,895,35,2025-01-01,372,50,51,193
55,1013,22,2025-08-01,156,36,24,67
56,739,25,2025-08-01,306,18,16,238
57,962,36,2024-02-01,66,12,66,257
58,554,28,2024-07-01,101,47,43,296
59,1150,25,2025-11-01,70,13,79,203
60,961,24,2025-11-01,432,34,31,288
61,504,12,2024-04-01,0,31,74,233
62,662,27,2024-03-01,167,12,11,92
63,1129,36,2024-08-01,82,18,60,149
64,3,49,2024-01-01,406,48,61,203
65,1192,33,2025-05-01,284,31,10,284
66,181,27,2025-02-01,163,21,71,65
67,621,20,2024-11-01,19,35,61,189
68,289,26,2024-02-01,357,2,63,125
69,196,14,2025-10-01,282,39,52,74
70,113,19,2025-10-01,421,48,70,260
71,773,48,2025-03-01,65,41,27,121
72,178,37,2024-09-01,392,30,49,195
73,1001,34,2024-10-01,389,18,34,105
74,118,7,2024-05-01,207,26,17,195
75,518,42,2024-02-01,374,2,14,284
76,189,33,2024-10-01,276,41,10,158
77,329,49,2025-01-01,282,35,35,97
78,1134,48,2025-05-01,432,24,61,238
79,609,50,2025-05-01,440,34,56,121
80,633,22,2024-09-01,120,34,75,139
81,280,30,2025-10-01,404,44,42,266
82,254,5,2025-08-01,163,37,44,121
83,61,48,2025-12-01,124,33,69,138
84,13,23,2024-09-01,474,21,28,168
85,1143,7,2024-03-01,166,0,14,122
86,212,19,2025-03-01,256,16,43,254
87,1156,43,2025-02-01,374,43,19,169
88,454,8,2025-11-01,26,14,75,292
89,894,11,2024-09-01,293,41,15,280
90,331,31,2025-12-01,299,49,56,107
91,1209,18,2024-11-01,88,32,37,263
92,73,48,2024-03-01,475,40,42,280
93,27,14,2024-08-01,309,45,18,191
94,319,16,2025-04-01,489,19,16,158
95,1189,43,2025-01-01,223,15,30,300
96,1152,22,2025-07-01,381,48,52,254
97,1009,28,2025-12-01,156,13,65,89
98,284,15,2025-12-01,141,39,42,184
99,678,50,2024-12-01,280,49,76,173
100,702,44,2025-07-01,383,10,78,114
101,1026,14,2025-03-01,207,20,61,184
102,670,35,2025-02-01,461,3,44,83
103,1049,42,2025-11-01,458,35,13,164
104,147,16,2025-02-01,444,44,41,127
105,42,12,2025-07-01,106,2,41,258
106,131,26,2024-03-01,229,27,64,290
107,940,7,2025-07-01,149,13,19,254
108,431,21,2024-01-01,447,0,18,264
109,698,34,2024-05-01,389,14,26,281
110,405,19,2025-07-01,220,45,15,272
111,1213,39,2025-06-01,21,36,32,204
112,1021,13,2025-02-01,110,9,73,181
113,223,42,2024-07-01,365,50,58,154
114,576,22,2025-03-01,87,21,29,178
115,1048,21,2024-09-01,377,24,54,125
116,58,48,2025-03-01,174,33,65,296
117,186,9,2024-04-01,209,46,40,156
118,595,30,2025-05-01,143,22,30,143
