order_id,customer_id,store_id,employee_id,order_date,ship_date,delivery_date,status,payment_method,shipping_method,discount_pct,region_id
1,2718,22,214,2025-09-10,2025-09-13,,Returned,Gift Card,Overnight,0,5
2,3907,44,63,2025-09-04,,,Cancelled,Apple Pay,Pickup,0,9
3,2318,49,30,2022-06-23,,,Cancelled,Wire Transfer,Overnight,0,1
4,4185,42,29,2025-06-20,2025-06-24,,Shipped,Apple Pay,Express,0,8
5,2127,45,96,2025-05-08,2025-05-09,2025-05-13,Delivered,Gift Card,Free Shipping,10,1
6,1474,20,48,2023-12-13,2023-12-19,2024-01-01,Delivered,PayPal,Standard,25,7
7,1203,1,149,2023-12-21,2023-12-23,2024-01-02,Delivered,Apple Pay,Pickup,15,2
8,1544,50,252,2024-10-12,2024-10-18,2024-10-20,Delivered,Apple Pay,Standard,10,9
9,4476,23,79,2023-04-24,2023-04-27,2023-05-09,Delivered,Apple Pay,Express,10,5
10,201,49,286,2024-12-09,2024-12-10,,Shipped,Wire Transfer,Pickup,0,1
11,4289,21,263,2022-04-04,2022-04-07,2022-04-15,Delivered,Debit Card,Standard,0,1
12,1185,35,204,2025-09-25,2025-09-28,2025-10-03,Delivered,Wire Transfer,Overnight,0,8
13,3360,30,57,2022-02-13,2022-02-16,2022-02-26,Delivered,Apple Pay,Express,0,6
14,3270,1,282,2025-01-17,,,Cancelled,Google Pay,Express,0,2
15,3254,14,97,2023-09-17,2023-09-18,2023-09-25,Delivered,Apple Pay,Standard,0,1
16,4010,44,280,2023-11-03,2023-11-08,2023-11-09,Delivered,Gift Card,Express,15,9
17,1488,18,209,2023-11-17,2023-11-21,2023-11-23,Delivered,PayPal,Pickup,5,4
18,1251,33,19,2025-08-14,2025-08-15,2025-08-20,Delivered,Gift Card,Standard,10,1
19,3884,9,82,2025-12-19,2025-12-24,2026-01-05,Delivered,PayPal,Overnight,30,6
20,1453,40,262,2025-01-17,2025-01-19,2025-01-24,Delivered,Gift Card,Standard,10,2
21,3196,6,203,2023-05-16,2023-05-20,,Shipped,Credit Card,Express,10,6
22,3264,31,38,2023-12-16,2023-12-23,2024-01-01,Delivered,Credit Card,Overnight,0,2
23,2738,46,163,2023-10-23,2023-10-25,2023-10-26,Delivered,Credit Card,Express,25,8
24,19,38,157,2024-07-08,2024-07-09,2024-07-21,Delivered,Google Pay,Pickup,5,2
25,1962,30,154,2024-08-01,2024-08-05,2024-08-17,Delivered,Google Pay,Free Shipping,10,6
26,3289,11,263,2023-10-03,2023-10-08,2023-10-10,Delivered,Google Pay,Express,0,6
27,4455,41,37,2024-09-21,2024-09-28,2024-09-29,Delivered,Debit Card,Express,15,9
28,2780,43,156,2024-05-08,2024-05-10,2024-05-24,Delivered,Google Pay,Free Shipping,15,7
29,316,4,138,2024-07-27,2024-07-28,2024-08-11,Delivered,PayPal,Pickup,10,4
30,4056,41,52,2025-12-13,2025-12-14,2025-12-16,Delivered,PayPal,Pickup,10,9
31,3395,15,58,2022-10-05,2022-10-06,2022-10-11,Delivered,Credit Card,Express,0,4
32,4759,5,176,2024-05-10,2024-05-13,2024-05-22,Delivered,Debit Card,Express,0,1
33,2164,47,67,2022-07-08,2022-07-10,2022-07-23,Delivered,Apple Pay,Standard,5,2
34,4879,47,201,2024-10-23,2024-10-28,2024-11-07,Delivered,Credit Card,Pickup,20,2
35,1893,29,178,2024-06-19,2024-06-25,2024-06-29,Delivered,Apple Pay,Pickup,25,7
36,1003,28,129,2025-11-14,2025-11-21,2025-11-30,Delivered,Debit Card,Overnight,0,3
37,851,38,186,2024-08-19,2024-08-24,,Shipped,PayPal,Free Shipping,0,2
38,338,13,125,2024-09-26,2024-10-02,2024-10-06,Delivered,PayPal,Free Shipping,5,7
39,4120,28,25,2022-02-09,2022-02-11,2022-02-17,Delivered,Apple Pay,Pickup,15,3
40,845,44,179,2025-12-06,2025-12-13,2025-12-23,Delivered,Credit Card,Pickup,10,9
41,114,32,243,2024-07-25,2024-07-28,,Shipped,Wire Transfer,Free Shipping,0,4
42,1697,33,208,2024-05-14,2024-05-21,2024-05-30,Delivered,Google Pay,Pickup,25,1
43,169,40,49,2024-01-28,2024-02-02,,Shipped,Credit Card,Pickup,5,2
44,4570,12,247,2023-10-03,2023-10-08,2023-10-13,Delivered,Gift Card,Pickup,0,2
45,3246,14,148,2022-06-13,2022-06-16,2022-06-22,Delivered,PayPal,Free Shipping,0,1
46,3324,41,256,2022-04-01,2022-04-07,2022-04-15,Delivered,Wire Transfer,Standard,10,9
47,3064,18,173,2024-12-17,2024-12-24,2025-01-07,Delivered,Credit Card,Free Shipping,0,4
48,4269,12,137,2023-07-04,2023-07-11,2023-07-22,Delivered,Gift Card,Overnight,20,2
49,4403,40,195,2024-07-26,2024-07-29,2024-08-03,Delivered,Apple Pay,Free Shipping,10,2
50,3918,14,52,2023-08-08,2023-08-15,2023-08-22,Delivered,Apple Pay,Overnight,20,1
51,2922,33,271,2022-07-18,2022-07-20,,Shipped,PayPal,Express,5,1
52,2749,32,4,2025-09-10,2025-09-15,2025-09-22,Delivered,Apple Pay,Standard,10,4
53,1736,26,247,2024-03-11,2024-03-12,2024-03-17,Delivered,Gift Card,Standard,0,1
54,3892,9,131,2024-12-09,2024-12-11,2024-12-24,Delivered,Credit Card,Free Shipping,10,6
55,2739,30,39,2024-04-20,2024-04-21,2024-05-01,Delivered,PayPal,Overnight,10,6
56,2728,48,105,2022-10-07,2022-10-14,2022-10-26,Delivered,Wire Transfer,Pickup,0,4
57,4651,49,63,2024-12-11,2024-12-18,2025-01-01,Delivered,Google Pay,Pickup,20,1
58,3736,50,147,2024-02-14,2024-02-21,2024-03-01,Delivered,Apple Pay,Standard,25,9
59,539,8,272,2022-12-04,2022-12-08,2022-12-16,Delivered,Apple Pay,Pickup,5,7
60,3919,47,269,2023-10-05,2023-10-07,2023-10-12,Delivered,Apple Pay,Pickup,20,2
61,4154,18,187,2024-09-11,2024-09-16,2024-09-18,Delivered,Credit Card,Free Shipping,15,4
62,868,16,18,2025-10-18,2025-10-24,2025-10-29,Delivered,Debit Card,Free Shipping,20,8
63,1284,26,211,2024-07-04,2024-07-08,2024-07-15,Delivered,Wire Transfer,Free Shipping,5,1
64,4016,38,203,2023-12-28,,,Pending,Google Pay,Pickup,15,2
65,817,5,109,2023-12-18,2023-12-21,2023-12-31,Delivered,Gift Card,Free Shipping,0,1
66,2346,22,236,2025-10-09,2025-10-11,2025-10-19,Delivered,Debit Card,Overnight,0,5
67,4938,34,104,2024-10-14,,,Processing,PayPal,Pickup,10,8
68,3892,9,288,2022-05-11,2022-05-16,,Returned,Credit Card,Overnight,0,6
69,4032,40,38,2024-05-18,,,Cancelled,PayPal,Pickup,0,2
70,3171,38,85,2024-10-01,2024-10-07,2024-10-13,Delivered,Apple Pay,Pickup,5,2
71,103,33,205,2022-08-07,2022-08-13,2022-08-23,Delivered,Wire Transfer,Free Shipping,0,1
72,2998,21,223,2024-12-20,,,Cancelled,Apple Pay,Overnight,30,1
73,344,46,156,2024-11-16,,,Processing,Apple Pay,Pickup,5,8
74,1589,12,256,2025-02-26,2025-03-03,2025-03-10,Delivered,Google Pay,Standard,0,2
75,2816,19,41,2025-04-05,2025-04-12,2025-04-22,Delivered,PayPal,Standard,5,2
76,134,23,300,2025-07-19,2025-07-20,2025-08-02,Delivered,Apple Pay,Overnight,0,5
77,2191,11,13,2025-11-21,2025-11-22,2025-11-25,Delivered,Apple Pay,Pickup,0,6
78,1722,35,196,2025-10-23,2025-10-28,,Shipped,PayPal,Free Shipping,10,8
79,48,26,188,2025-12-19,2025-12-20,,Shipped,Wire Transfer,Pickup,0,1
80,4777,47,135,2023-10-14,2023-10-19,2023-10-20,Delivered,Credit Card,Free Shipping,0,2
81,1714,45,173,2025-04-11,2025-04-14,,Shipped,PayPal,Standard,0,1
82,3782,36,140,2024-10-05,2024-10-10,2024-10-17,Delivered,Credit Card,Express,25,7
83,495,4,119,2023-11-08,2023-11-15,2023-11-21,Delivered,Wire Transfer,Free Shipping,5,4
84,2294,25,223,2024-01-09,2024-01-13,2024-01-20,Delivered,Credit Card,Pickup,25,3
85,4405,30,203,2025-11-25,2025-12-01,2025-12-08,Delivered,Credit Card,Express,0,6
86,2461,16,27,2024-02-16,,,Cancelled,Gift Card,Pickup,10,8
