return_id,order_item_id,order_id,product_id,return_date,return_qty,return_reason,refund_amount,restocked
1,1,1,976,2025-09-17,2,Defective,2419.54,True
2,137,68,16,2022-05-19,1,Size Issue,1451.11,True
3,231,115,438,2022-06-01,6,Duplicate Order,1167.46,False
4,238,118,451,2022-12-08,4,Changed Mind,1317.87,False
5,259,131,1010,2023-10-29,1,Changed Mind,447.04,True
6,287,144,401,2024-07-18,2,Defective,1871.84,True
7,370,180,812,2025-04-28,3,Size Issue,2766.01,True
8,371,180,878,2025-05-13,2,Not as Described,61.79,True
9,372,180,1096,2025-04-22,2,Defective,1999.42,True
10,373,180,1,2025-04-21,1,Changed Mind,471.19,False
11,374,180,546,2025-04-23,1,Damaged in Transit,441.24,True
12,402,192,621,2025-12-31,1,Size Issue,757.66,False
13,471,225,48,2025-08-28,1,Damaged in Transit,1230.53,True
14,472,225,837,2025-08-29,4,Damaged in Transit,3311.78,True
15,473,225,404,2025-09-16,5,Size Issue,2971.7,False
16,539,262,436,2025-09-29,1,Damaged in Transit,703.12,True
17,541,262,464,2025-10-14,5,Not as Described,5735.48,True
18,560,269,998,2022-12-20,6,Duplicate Order,8271.77,False
19,569,273,457,2025-12-07,5,Changed Mind,6857.42,True
20,570,273,961,2025-11-26,1,Damaged in Transit,1605.89,True
21,688,332,1092,2025-10-16,1,Defective,181.32,False
22,728,352,717,2023-12-28,1,Size Issue,969.22,True
23,729,352,931,2023-12-31,4,Size Issue,1078.24,False
24,754,363,187,2022-08-13,1,Size Issue,1286.66,False
25,756,363,1125,2022-08-16,3,Damaged in Transit,1041.83,True
26,757,363,176,2022-08-13,1,Wrong Item,1140.96,True
27,758,363,609,2022-08-04,4,Changed Mind,5470.93,True
28,759,364,638,2023-10-22,2,Defective,2958.01,True
29,763,368,253,2024-12-07,1,Damaged in Transit,66.33,True
30,764,368,590,2024-12-04,2,Changed Mind,2754.31,False
31,779,373,121,2023-05-16,6,Wrong Item,2353.72,True
32,781,374,1098,2025-10-16,2,Defective,20.77,True
33,782,374,534,2025-10-02,1,Defective,1490.16,False
34,783,374,972,2025-10-12,2,Wrong Item,474.02,True
35,784,374,295,2025-09-24,4,Changed Mind,3304.85,False
36,807,385,711,2022-08-19,5,Damaged in Transit,7692.96,True
37,808,385,827,2022-08-20,1,Damaged in Transit,1586.95,True
38,809,385,669,2022-08-11,6,Duplicate Order,8597.77,True
39,824,396,92,2024-08-23,1,Wrong Item,1563.6,True
40,825,396,940,2024-07-28,2,Changed Mind,3325.75,True
41,836,403,247,2024-12-01,1,Changed Mind,414.4,False
42,882,422,718,2024-08-28,4,Changed Mind,277.25,False
43,884,422,317,2024-09-09,1,Changed Mind,1679.1,True
44,885,422,341,2024-08-18,5,Defective,5709.66,True
45,953,453,440,2025-07-23,2,Changed Mind,1103.37,True
46,954,453,503,2025-07-30,2,Changed Mind,1780.94,False
47,1018,480,1091,2022-12-26,2,Damaged in Transit,242.79,True
48,1019,480,865,2022-12-25,1,Not as Described,325.16,True
49,1020,480,1080,2022-12-31,1,Defective,1261.63,True
50,1021,480,74,2023-01-09,3,Defective,933.99,False
51,1026,482,422,2024-09-07,2,Defective,1139.99,True
52,1027,482,669,2024-09-11,2,Size Issue,2753.49,True
53,1056,497,151,2023-01-13,3,Changed Mind,2440.45,False
54,1128,535,206,2025-07-07,1,Size Issue,782.58,False
55,1248,591,273,2022-04-29,2,Duplicate Order,781.63,True
56,1249,591,397,2022-04-18,1,Size Issue,635.85,True
57,1332,632,330,2024-10-29,1,Size Issue,1750.7,True
58,1441,681,254,2023-09-08,2,Changed Mind,3026.28,True
59,1501,709,968,2022-11-05,2,Defective,2552.04,False
60,1502,709,841,2022-11-26,4,Wrong Item,4452.81,True
61,1503,709,902,2022-11-19,1,Defective,989.5,True
62,1554,732,1063,2025-08-04,2,Not as Described,2413.4,True
63,1559,736,610,2024-12-31,2,Changed Mind,1336.4,True
64,1560,736,1081,2025-01-06,3,Defective,2703.3,True
65,1579,744,1076,2023-11-02,1,Not as Described,1548.38,False
66,1580,744,175,2023-10-09,3,Size Issue,4119.7,False
67,1597,753,1028,2022-11-20,4,Not as Described,5319.79,True
68,1698,802,598,2024-12-04,1,Defective,1386.83,False
69,1699,802,173,2024-12-03,2,Not as Described,1784.02,True
70,1709,807,667,2024-12-31,1,Changed Mind,453.41,True
71,1710,807,29,2024-12-19,1,Wrong Item,1292.39,True
72,1719,812,79,2024-03-10,3,Defective,2842.76,True
73,1720,812,5,2024-03-02,4,Changed Mind,6525.62,True
74,1721,812,675,2024-03-08,1,Wrong Item,1261.56,True
75,1722,813,567,2025-06-30,5,Changed Mind,6124.67,True
76,1723,813,1148,2025-07-05,3,Duplicate Order,93.07,False
77,1813,855,212,2025-10-30,4,Damaged in Transit,3015.64,False
78,1815,855,751,2025-11-07,1,Changed Mind,1340.89,False
79,1817,857,482,2023-11-01,2,Not as Described,178.34,True
80,1818,857,133,2023-11-03,1,Defective,1012.91,False
81,1842,867,700,2025-11-10,3,Size Issue,1569.37,False
82,1859,874,596,2025-03-10,3,Size Issue,4797.56,True
83,1860,874,861,2025-03-09,4,Changed Mind,2940.74,True
84,1899,896,194,2025-05-31,1,Not as Described,1296.65,True
85,1904,898,699,2023-05-12,4,Wrong Item,3023.12,True
86,1905,899,395,2024-04-10,5,Size Issue,3895.16,True
87,1906,899,1145,2024-04-13,3,Wrong Item,188.57,True
88,1907,899,748,2024-04-04,2,Wrong Item,362.49,True
89,1908,899,1120,2024-04-28,2,Defective,652.47,True
90,1923,907,425,2023-08-19,1,Changed Mind,190.36,True
91,2201,1035,218,2024-04-15,4,Defective,5749.6,True
92,2234,1053,640,2022-04-21,2,Changed Mind,2621.59,True
93,2235,1054,1107,2024-01-27,1,Changed Mind,600.71,True
94,2236,1054,453,2024-01-27,5,Changed Mind,4531.64,True
95,2237,1054,696,2024-01-20,2,Defective,2250.3,True
96,2238,1054,1181,2024-01-31,1,Size Issue,1214.79,False
97,2301,1085,299,2024-10-30,5,Size Issue,3154.77,True
98,2316,1091,136,2022-06-11,1,Defective,1732.21,True
99,2317,1091,1043,2022-07-03,2,Changed Mind,1999.31,True
100,2338,1102,404,2025-01-06,5,Damaged in Transit,2923.47,True
101,2406,1139,862,2026-01-01,1,Wrong Item,1465.25,True
102,2444,1156,1129,2024-09-04,6,Changed Mind,2962.61,True
103,2488,1177,393,2024-04-20,3,Changed Mind,585.5,True
104,2498,1181,212,2022-02-15,2,Defective,1599.52,False
105,2499,1181,423,2022-02-16,3,Defective,4844.38,True
106,2506,1186,215,2025-02-14,1,Damaged in Transit,1778.41,True
107,2551,1208,433,2025-12-25,1,Defective,81.56,True
108,2584,1224,229,2025-01-10,1,Defective,1603.33,True
109,2585,1224,1083,2024-12-31,1,Wrong Item,1130.91,True
110,2631,1245,500,2025-11-05,2,Damaged in Transit,754.36,True
111,2642,1252,89,2025-12-18,2,Size Issue,421.63,True
112,2733,1288,1064,2024-11-18,1,Changed Mind,291.97,True
113,2734,1288,39,2024-11-21,2,Wrong Item,2130.84,True
114,2735,1288,874,2024-11-11,3,Damaged in Transit,2747.45,False
115,2767,1304,84,2022-10-30,1,Wrong Item,229.5,True
116,2768,1304,190,2022-11-18,1,Defective,1115.55,False
117,2769,1304,81,2022-11-17,4,Size Issue,5335.19,True
118,2924,1383,1004,2023-09-10,2,Size Issue,2919.97,True
119,2925,1383,1007,2023-08-20,1,Changed Mind,123.44,True
120,2926,1383,370,2023-08-19,2,Wrong Item,2731.54,True
121,2933,1385,1130,2024-03-28,1,Defective,80.47,True
122,2988,1410,893,2024-01-03,1,Changed Mind,1097.86,False
123,2989,1410,708,2023-12-26,1,Size Issue,351.49,True
