ticket_id,customer_id,category,priority,status,created_date,resolved_date,days_to_resolve,satisfaction_score,agent_id
1,1248,Return Request,Low,Escalated,2/26/2025,3/6/2025,8,1,279
2,3039,Account Issue,Medium,Escalated,8/2/2024,8/7/2024,5,5,196
3,177,Shipping,Critical,In Progress,6/1/2026,6/1/2026,0,3,250
4,3434,Return Request,Low,Closed,1/13/2026,1/29/2026,16,4,5
5,4959,Return Request,Low,Resolved,1/18/2025,,,,296
6,1217,Billing,High,In Progress,1/16/2025,2/14/2025,29,3,299
7,1852,Technical Support,Low,In Progress,7/28/2024,8/3/2024,6,1,298
8,2264,General Inquiry,Low,Escalated,1/2/2026,1/29/2026,27,2,130
9,3006,Billing,Medium,Closed,3/8/2025,3/27/2025,19,5,7
10,2048,Account Issue,Low,Open,7/1/2025,7/2/2025,1,3,113
11,3116,Account Issue,Low,Open,6/8/2026,7/8/2026,30,4,248
12,529,General Inquiry,Medium,Escalated,10/15/2024,10/21/2024,6,4,55
13,2370,Account Issue,Low,Resolved,6/15/2025,7/13/2025,28,2,26
14,4181,Return Request,Medium,In Progress,7/15/2025,,,,288
15,1438,Shipping,Medium,Resolved,5/19/2025,6/14/2025,26,1,20
16,850,General Inquiry,Medium,Escalated,12/14/2024,1/1/2025,18,4,253
17,3455,Product Defect,High,Open,6/20/2024,,,,240
18,2077,Account Issue,High,In Progress,4/1/2025,4/28/2025,27,4,159
19,1659,Shipping,Medium,In Progress,10/8/2025,10/22/2025,14,1,160
20,1937,Product Defect,Medium,Resolved,2/16/2025,,,,27
21,2737,Product Defect,Critical,In Progress,3/21/2025,3/29/2025,8,2,134
22,3758,Product Defect,Low,Open,4/1/2025,4/22/2025,21,4,61
23,1592,General Inquiry,Medium,Closed,2/5/2026,3/6/2026,29,5,147
24,4097,Product Defect,Low,Open,7/14/2025,7/23/2025,9,4,128
25,2252,Technical Support,Low,In Progress,1/7/2025,,,,16
26,3754,Shipping,Medium,Open,6/27/2024,7/13/2024,16,4,242
27,1128,Billing,Medium,Closed,11/15/2024,12/7/2024,22,4,144
28,2144,Account Issue,Medium,Resolved,6/18/2024,6/24/2024,6,1,1
29,1930,Technical Support,Medium,Open,10/16/2025,11/4/2025,19,4,18
30,1366,Return Request,Medium,Closed,10/18/2024,,,,83
31,1924,Product Defect,Medium,Escalated,4/1/2025,,,,94
32,2027,Account Issue,Low,Escalated,12/7/2025,,,,13
33,987,Account Issue,Critical,Closed,6/7/2026,,,,137
34,4458,Billing,Medium,Closed,6/12/2025,,,,269
35,4899,General Inquiry,High,Resolved,12/16/2024,1/3/2025,18,2,148
36,2440,Account Issue,Medium,In Progress,6/5/2026,6/21/2026,16,3,291
37,771,Product Defect,Medium,Open,7/21/2024,,,,191
38,2745,Product Defect,High,Open,4/6/2026,4/17/2026,11,2,276
39,3560,Technical Support,Low,Escalated,11/2/2024,11/4/2024,2,4,168
40,3307,Return Request,Low,Closed,5/11/2026,6/3/2026,23,1,5
41,473,Billing,Low,Closed,7/28/2024,8/26/2024,29,1,47
42,4596,General Inquiry,Critical,In Progress,3/1/2025,3/9/2025,8,1,286
43,2689,General Inquiry,Medium,In Progress,11/8/2025,11/10/2025,2,4,50
44,487,Billing,Medium,Closed,9/14/2024,,,,150
45,4562,General Inquiry,Medium,In Progress,8/20/2025,9/18/2025,29,1,17
46,2578,Billing,Low,Resolved,10/12/2025,10/28/2025,16,2,255
47,4782,Shipping,Low,Resolved,12/31/2024,12/31/2024,0,4,205
48,2421,Product Defect,Low,Open,12/10/2024,1/9/2025,30,1,220
49,826,Account Issue,Critical,Escalated,8/29/2024,8/30/2024,1,4,272
50,3194,Technical Support,Low,Escalated,5/8/2025,5/11/2025,3,2,146
51,2814,Return Request,Medium,Open,5/7/2026,5/28/2026,21,2,201
52,3903,Return Request,Medium,Resolved,12/17/2024,1/15/2025,29,5,23
53,2856,Return Request,Low,Resolved,8/27/2024,9/25/2024,29,5,24
54,1512,Account Issue,High,Open,9/27/2025,10/5/2025,8,4,68
55,4977,Return Request,Low,Escalated,6/12/2025,7/8/2025,26,5,222
56,1965,General Inquiry,High,Resolved,12/5/2025,12/16/2025,11,4,85
57,2571,Product Defect,Low,Closed,7/31/2025,8/8/2025,8,4,254
58,1385,Product Defect,High,Closed,5/23/2025,5/26/2025,3,3,88
59,2313,Billing,Low,Escalated,6/18/2025,7/11/2025,23,3,64
60,2739,General Inquiry,High,Escalated,7/3/2024,7/19/2024,16,2,11
61,4510,Account Issue,Medium,In Progress,7/17/2024,8/1/2024,15,1,212
62,2284,Billing,Low,In Progress,3/20/2025,3/30/2025,10,3,82
63,2675,Account Issue,Low,In Progress,10/17/2024,10/30/2024,13,2,19
64,669,Billing,Critical,Resolved,12/5/2024,,,,5
65,4771,Product Defect,Low,Open,1/11/2026,1/13/2026,2,5,296
66,3646,Product Defect,High,Closed,5/22/2025,6/20/2025,29,1,260
67,290,General Inquiry,Low,Resolved,7/14/2024,8/12/2024,29,5,284
68,3716,Technical Support,High,Resolved,4/22/2025,5/18/2025,26,5,39
69,4171,General Inquiry,Low,Closed,12/9/2024,12/18/2024,9,5,192
70,3258,Billing,High,Closed,12/27/2024,12/29/2024,2,2,175
71,2134,General Inquiry,Medium,Escalated,4/15/2025,,,,138
72,2123,Technical Support,Critical,Resolved,9/25/2024,,,,291
73,3272,Shipping,Low,In Progress,8/8/2025,8/28/2025,20,3,232
74,578,Product Defect,Medium,In Progress,5/25/2026,,,,24
75,4556,Shipping,Medium,Resolved,12/1/2025,,,,148
76,1271,Product Defect,Medium,Open,1/9/2025,,,,103
77,2755,Shipping,High,Resolved,9/1/2024,9/3/2024,2,4,1
78,156,General Inquiry,Medium,Escalated,10/2/2025,10/24/2025,22,1,15
79,810,Return Request,Low,Escalated,10/1/2024,10/3/2024,2,4,80
80,4346,Shipping,High,In Progress,8/1/2025,8/9/2025,8,5,82
81,4315,Shipping,Medium,Closed,2/18/2026,2/20/2026,2,5,95
82,4697,Billing,Critical,Open,12/9/2024,1/8/2025,30,3,32
83,3408,Technical Support,Medium,In Progress,1/28/2026,,,,239
84,1895,Product Defect,Critical,In Progress,9/10/2024,,,,82
85,2035,Product Defect,Low,Escalated,7/9/2024,,,,238
86,525,Account Issue,Medium,Resolved,2/10/2025,2/11/2025,1,4,233
87,2893,Billing,Low,Open,5/25/2026,6/7/2026,13,2,71
88,3789,Return Request,Low,Resolved,7/4/2025,7/25/2025,21,3,87
89,433,Product Defect,Medium,Escalated,11/22/2024,12/13/2024,21,5,229
90,964,Account Issue,Low,Escalated,2/18/2026,,,,138
91,3137,Billing,Low,Closed,3/12/2026,,,,108
92,3888,General Inquiry,Medium,Open,1/26/2025,2/20/2025,25,5,291
93,3234,Product Defect,Critical,In Progress,1/9/2026,,,,100
94,3935,Billing,High,Escalated,7/27/2025,7/31/2025,4,2,49
95,1052,General Inquiry,Medium,In Progress,4/19/2026,4/27/2026,8,2,24
96,289,Shipping,High,Closed,4/2/2025,4/2/2025,0,5,278
97,3069,Technical Support,Low,Open,7/14/2025,8/3/2025,20,4,83
98,1418,Account Issue,Medium,Resolved,4/3/2026,4/18/2026,15,2,250
99,4647,Account Issue,Medium,In Progress,1/11/2026,1/20/2026,9,2,289
100,3775,Technical Support,Medium,Resolved,10/30/2024,,,,131
101,4208,Technical Support,Medium,Resolved,7/4/2024,7/9/2024,5,5,239
102,923,Product Defect,Medium,Resolved,6/14/2024,,,,121
103,4459,Billing,Critical,Open,1/28/2026,2/2/2026,5,1,69
104,1406,Account Issue,Low,Open,11/18/2024,,,,176
105,3598,Technical Support,Medium,Resolved,5/29/2026,6/15/2026,17,1,219
106,3187,Billing,Low,In Progress,5/16/2026,6/15/2026,30,3,19
107,4578,Billing,Medium,Resolved,7/8/2025,7/22/2025,14,2,30
108,3984,Billing,Medium,Escalated,10/9/2025,10/23/2025,14,5,147
109,1539,General Inquiry,High,In Progress,7/18/2024,,,,190
110,3772,Shipping,High,Resolved,11/27/2024,12/15/2024,18,5,122
111,4099,Product Defect,Low,Resolved,11/3/2024,,,,197
112,3826,Account Issue,Low,Resolved,4/28/2026,5/28/2026,30,2,250
113,676,Billing,Low,Open,6/28/2024,7/26/2024,28,1,223
114,3346,Shipping,High,Resolved,11/13/2024,11/21/2024,8,5,114
115,3508,Product Defect,High,Escalated,10/21/2025,10/29/2025,8,3,69
116,191,Shipping,High,Open,4/5/2025,4/9/2025,4,4,237
117,539,General Inquiry,Low,Resolved,4/11/2026,4/20/2026,9,3,218
118,4611,General Inquiry,Medium,Closed,4/18/2025,4/21/2025,3,2,152
119,4214,General Inquiry,High,Closed,9/19/2024,10/13/2024,24,3,121
120,581,Return Request,High,Escalated,6/7/2026,6/11/2026,4,5,246
121,3463,Return Request,Low,In Progress,8/3/2025,9/1/2025,29,4,203
122,2040,Return Request,Low,Closed,4/20/2025,5/12/2025,22,2,79
123,1729,Billing,Critical,Closed,2/7/2026,2/21/2026,14,4,222
124,2191,General Inquiry,Low,Resolved,9/29/2024,10/15/2024,16,3,10
125,2358,Shipping,Medium,Closed,11/6/2024,11/18/2024,12,1,279
126,2433,General Inquiry,Medium,Open,4/8/2026,4/14/2026,6,5,92
127,462,Return Request,Low,Open,5/6/2026,,,,248
128,3159,Technical Support,High,Escalated,9/7/2025,9/8/2025,1,5,85
129,2909,Account Issue,High,In Progress,6/4/2025,6/6/2025,2,4,197
130,257,Technical Support,Critical,Resolved,3/10/2026,4/5/2026,26,1,1
131,1333,Technical Support,Medium,Resolved,9/16/2025,10/2/2025,16,2,267
132,973,Billing,Critical,Resolved,7/1/2025,,,,192
133,1484,Shipping,Medium,Escalated,9/10/2024,10/10/2024,30,3,267
134,1192,Return Request,Medium,Closed,11/8/2025,11/17/2025,9,4,205
135,104,Account Issue,Medium,Resolved,2/17/2026,2/24/2026,7,5,64
136,4326,Shipping,Medium,Closed,1/1/2026,1/27/2026,26,4,176
137,592,Technical Support,Low,In Progress,6/14/2025,7/4/2025,20,5,186
138,4506,Shipping,High,Closed,2/3/2025,2/22/2025,19,2,284
139,1501,Shipping,High,Closed,9/27/2025,,,,285
140,1573,Product Defect,Medium,Open,3/6/2025,,,,146
141,1942,Account Issue,High,Resolved,1/24/2025,2/3/2025,10,4,174
142,249,Shipping,High,Open,4/13/2025,4/23/2025,10,1,22
143,595,Account Issue,Medium,Resolved,6/28/2025,7/3/2025,5,2,139
144,2498,Shipping,High,Closed,5/10/2025,,,,211
145,3176,Return Request,Medium,Escalated,5/30/2026,6/8/2026,9,1,221
146,4593,Product Defect,Low,Resolved,3/6/2026,4/3/2026,28,1,284
147,2738,Return Request,Medium,In Progress,12/3/2025,12/26/2025,23,2,141
148,336,Return Request,Medium,Escalated,10/4/2024,11/1/2024,28,4,238
149,723,Billing,Low,Resolved,3/21/2026,4/14/2026,24,2,289
150,1470,Technical Support,Medium,Escalated,6/20/2025,6/29/2025,9,2,206
151,1425,Shipping,Low,Escalated,6/27/2024,7/7/2024,10,2,175
152,2620,Technical Support,Low,Open,12/29/2025,1/25/2026,27,4,215
153,1839,Product Defect,Critical,Resolved,1/3/2026,1/6/2026,3,3,282
154,645,Return Request,Low,Resolved,1/17/2026,1/17/2026,0,2,254
155,3611,Shipping,Low,In Progress,12/9/2024,1/6/2025,28,2,270
156,2739,Shipping,Medium,Escalated,12/30/2025,1/15/2026,16,2,168
157,1731,Account Issue,Low,Resolved,6/26/2025,7/13/2025,17,5,236
158,4583,Billing,Medium,In Progress,5/15/2026,6/4/2026,20,5,274
159,3106,Shipping,Medium,In Progress,5/7/2025,,,,250
160,864,General Inquiry,Medium,In Progress,3/11/2025,,,,244
161,1239,Account Issue,Low,In Progress,12/27/2025,1/21/2026,25,5,196
162,4953,Account Issue,Low,Resolved,3/31/2026,4/12/2026,12,4,58
163,3536,Billing,Medium,In Progress,2/11/2025,,,,227
164,848,Return Request,Low,Escalated,5/20/2025,5/22/2025,2,4,222
165,4648,Return Request,Medium,Closed,12/2/2024,12/25/2024,23,5,60
166,3823,Shipping,Medium,Resolved,9/17/2024,10/13/2024,26,5,241
167,2395,General Inquiry,Medium,In Progress,12/23/2024,1/7/2025,15,5,3
168,315,Product Defect,Medium,Resolved,2/27/2026,3/2/2026,3,3,224
169,4785,Account Issue,Low,Escalated,5/22/2025,6/9/2025,18,1,19
170,1865,Return Request,Low,In Progress,1/2/2025,1/21/2025,19,4,71
171,4178,Return Request,Medium,Resolved,6/27/2025,7/6/2025,9,5,146
172,2834,Shipping,Medium,In Progress,4/24/2025,4/27/2025,3,2,67
173,537,Shipping,Low,Open,3/7/2026,,,,242
174,3761,Return Request,Medium,Open,12/16/2025,1/8/2026,23,2,273
175,449,Account Issue,Low,Closed,10/5/2025,10/30/2025,25,4,154
176,2237,General Inquiry,Low,Closed,1/22/2025,2/15/2025,24,3,159
177,1818,Return Request,Low,Closed,4/26/2025,5/16/2025,20,2,79
178,142,Billing,Medium,Closed,6/21/2024,6/21/2024,0,2,223
179,684,General Inquiry,Medium,Closed,4/28/2026,5/22/2026,24,2,274
180,2745,General Inquiry,Low,In Progress,6/9/2025,6/20/2025,11,2,115
181,4051,Return Request,Critical,Escalated,4/27/2026,5/10/2026,13,4,269
182,1571,Technical Support,High,Open,4/1/2026,,,,173
183,838,Technical Support,Low,Closed,7/13/2025,,,,52
184,180,Return Request,Low,Escalated,12/21/2024,1/19/2025,29,4,239
185,4378,General Inquiry,Medium,Resolved,11/17/2024,,,,113
186,4271,Billing,Medium,Open,1/24/2025,2/2/2025,9,1,256
187,968,Billing,High,Resolved,10/18/2025,11/8/2025,21,1,149
188,4951,General Inquiry,Low,Resolved,3/3/2026,3/14/2026,11,4,74
189,2271,Shipping,Low,Resolved,5/4/2026,6/3/2026,30,2,204
190,2320,Billing,Low,In Progress,8/6/2024,,,,49
191,3825,Shipping,High,Resolved,3/21/2025,3/25/2025,4,1,217
192,280,Billing,Low,Resolved,6/11/2025,7/6/2025,25,4,195
193,4022,Account Issue,Low,Open,3/8/2025,3/18/2025,10,1,4
194,219,General Inquiry,Low,Closed,11/1/2024,11/27/2024,26,2,142
195,3421,Product Defect,Medium,Escalated,2/28/2026,,,,115
196,3986,General Inquiry,Medium,Resolved,4/22/2026,,,,39
197,3544,Billing,Low,Closed,5/25/2025,5/28/2025,3,3,119
198,4525,Return Request,Critical,Open,8/28/2024,,,,209
199,1713,Account Issue,Low,Escalated,5/22/2025,6/4/2025,13,1,217
200,3589,General Inquiry,Medium,Resolved,3/17/2025,3/19/2025,2,4,76
